Game,Human-Human,Human-Random,Noop-Human,Noop-Random
Amidar,1540.4,11.8,1676,5.8
Assault,628.9,166.9,1496,222.4
Asterix,7536,164.5,8503,210
Atlantis,26575,13463,29028,12850
Bank Heist,644.5,21.7,734.4,14.2
Battle Zone,33030,3560,37800,2360
Beam Rider,14961,254.6,5775,363.9
Boxing,9.6,-1.5,4.3,0.1
Breakout,27.9,1.6,31.8,1.7
Centipede,10321.9,1925.5,11963,2090.9
Chopper Command,8930,644,9882,811
Crazy Climber,32667,9337,35411,10780.5
Demon Attack,3442.8,208.3,3401,152.1
Double Dunk,-14.4,-16,-15.5,-18.6
Enduro,740.2,-81.8,309.6,0
Fishing Derby,5.1,-77.1,5.5,-91.7
Freeway,25.6,0.1,29.6,0
Frostbite,4202.8,66.4,4335,65.2
Gopher,2311,250,2321,257.6
H.E.R.O,25839.4,1580.3,25763,1027
Ice Hockey,0.5,-9.7,0.9,-11.2
Kangaroo,2739,100,3035,52
Kung-Fu Master,20786.8,304,22736,258
Name This Game,6796,1747.8,4076,2292.3
Pong,15.5,-18,9.3,-20.7
Q*Bert,12085,183,13455,163.9
Road Runner,6878,200,7845,11.5
Robotank,8.9,2.4,11.9,2.2
Seaquest,40425.8,215.5,20182,68.4
Space Invaders,1464.9,182.6,1652,148
Star Gunner,9528,697,10250,664
Tennis,-6.7,-21.4,-8.9,-23.8
Time Pilot,5650,3273,5925,3568
Tutankham,138.3,12.7,167.6,11.4
Venture,1039,18,1188,0
Video Pinball*,15641.1,20452,17767.9,16256.9
Wizard of Wor,4556,804,4757,563.5
Zaxxon,8443,475,9173.3,32.5