Game,Human-Human,Human-Random
Amidar,1540.4,11.8
Assault,628.9,166.9
Asterix,7536,164.5
Atlantis,26575,13463
Bank Heist,644.5,21.7
Battle Zone,33030,3560
Beam Rider,14961,254.6
Boxing,9.6,-1.5
Breakout,27.9,1.6
Centipede,10321.9,1925.5
Chopper Command,8930,644
Crazy Climber,32667,9337
Demon Attack,3442.8,208.3
Double Dunk,-14.4,-16
Enduro,740.2,-81.8
Fishing Derby,5.1,-77.1
Freeway,25.6,0.1
Frostbite,4202.8,66.4
Gopher,2311,250
H.E.R.O,25839.4,1580.3
Ice Hockey,0.5,-9.7
Kangaroo,2739,100
Kung-Fu Master,20786.8,304
Name This Game,6796,1747.8
Pong,15.5,-18
Q*Bert,12085,183
Road Runner,6878,200
Robotank,8.9,2.4
Seaquest,40425.8,215.5
Space Invaders,1464.9,182.6
Star Gunner,9528,697
Tennis,-6.7,-21.4
Time Pilot,5650,3273
Tutankham,138.3,12.7
Venture,1039,18
Video Pinball*,15641.1,20452
Wizard of Wor,4556,804
Zaxxon,8443,475