Game,Noop-Human,Noop-Random,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN
Alien,6875,227.8,1620,3747.7,6648.6,4461.4,4055.8,2394.9
Amidar,1676,5.8,978,1793.3,2051.8,2354.5,1267.9,1608
Assault,1496,222.4,4280,5393.2,7965.7,4621,5909,5198.6
Asterix,8503,210,4359,17356.2,41268,28188,400529.5,12403.8
Asteroids,13157,719.1,1364.5,734.7,1699.3,2837.7,2354.7,4814.1
Atlantis,29028,12850,279987,106056,427658,382572,273895,329010
Bank Heist,734.4,14.2,455,1030.6,1126.8,1611.9,1056.7,1323
Battle Zone,37800,2360,29900,31700,38130,37150,41145,32050
Beam Rider,5775,363.9,8627.5,13772.8,22430.7,12164,13213.4,12534
Berzerk ,2630.4,123.7,585.6,1225.4,1614.2,1472.6,1421.8,837.3
Bowling,154.8,23.1,50.4,68.1,92.6,65.5,74.1,77.3
Boxing,4.3,0.1,88,91.6,98.8,99.4,98.1,83.3
Breakout,31.8,1.7,385.5,418.5,381.5,345.3,6125,459.1
Centipede,11963,2090.9,4657.7,5409.4,5175.4,7561.4,9015.5,4355.8
Chopper Command,9882,811,6126,5809,5135,11215,13136,9519
Crazy Climber,35411,10780.5,110763,117282,183137,143570,178355,118768
Defender,18688.9,2874.5,23633,35338.5,24162.5,42214,37896.8,23083
Demon Attack ,3401,152.1,12149.4,58044.2,70171.8,60813.3,110626.5,24950.1
Double Dunk ,-15.5,-18.6,-6.6,-5.5,4.8,0.1,-3.8,-1.8
Enduro,309.6,0,729,1211.8,2155,2258.2,2259.3,1129.2
Fishing Derby ,5.5,-91.7,-4.9,15.5,30.2,46.4,9.1,7.7
Freeway,29.6,0,30.8,33.3,32.9,0,33.6,32
Frostbite ,4335,65.2,797.4,1683.3,3421.6,4672.8,3938.2,583.6
Gopher,2321,257.6,8777.4,14840.8,49097.4,15718.8,28841,15107.9
Gravitar ,2672,173,473,412,330.5,588,681,443.5
H.E.R.O,25763,1027,20437.8,20130.2,27153.9,20818.2,33860.9,5053.1
Ice Hockey ,0.9,-11.2,-1.9,-2.7,0.3,0.5,1.3,-2.1
Kangaroo,3035,52,7259,12992,14492,14854,12909,12117
Krull,2395,1598,8422.3,7290.5,10263.1,11451.9,9885.9,9061.9
Kung-Fu Master,22736,258,26059,29710,43470,34294,43009,34099
Montezuma's Revenge,4367,0,0,0,0,0,367,0
Ms. Pacman,15693,307.3,3085.6,2711.4,4751.2,6283.5,3769.2,2501.6
Name This Game ,4076,2292.3,8207.8,10616,13439.4,11971.1,12983.6,8332.4
Phoenix,7242.6,761.4,8485.2,12252.5,32808.3,23092.2,34775,16974.3
Pit Fall,6463.7,-229.4,-286.1,-29.9,0,0,-2.1,-18.2
Pong,9.3,-20.7,19.5,20.9,20.7,21,20.8,21
Private Eye**,69571,24.9,146.7,129.7,200,103,15172.9,3966
Q*Bert,13455,163.9,13117.3,15088.5,18802.8,19220.3,16956,15276.3
Road Runner,7845,11.5,39544,44127,62785,69524,63366,41681
Robotank,11.9,2.2,63.9,65.1,58.6,65.3,54.2,53.5
Seaquest,20182,68.4,5860.6,16452.7,44417.4,50254.2,4754.4,2495.4
Skiing,-4336.9,-170981.1,-13062.3,-9092.8,-9900.5,-8857.4,-14959.8,-16307.3
Solaris**,12326.7,1236.3,3482.8,3067.8,1710.8,2250.8,5643.1,3204.5
Space Invaders,1652,148,1692.3,2525.5,7696.9,6427.3,6869.1,2145.5
Star Gunner,10250,664,54282,60142,56641,89238,69306.5,34504.5
Surround,6.5,-10,-5.6,-2.9,2.1,4.4,6.2,-3.3
Tennis,-8.9,-23.8,12.2,-22.8,0,5.1,23.6,0
Time Pilot,5925,3568,4870,8339,11448,11666,7875,6157
Tutankham,167.6,11.4,68.1,218.4,87.2,211.4,249.4,231.6
Venture,1188,0,163,98,863,497,1107,0
Video Pinball*,17767.9,16256.9,196760.4,309941.9,406420.4,98209.5,478646.7,270444.6
Wizard of Wor ,4757,563.5,2704,7492,10373,7855,15994.5,5432
Yars Revenge,54576.9,3092.9,18089.9,11712.6,16451.7,49622.1,16608.6,9570.1
Zaxxon,9173.3,32.5,5363,10163,13490,12944,18347.5,9390